Customer;Name 1;Street;Telephone 1;Telephone 2;Zone;SDst;Represent.;Pers.No.;Sales;#N/A;JWK;MonFrom1;MonFrom2;TueFrom1;TueFrom2;WedFrom1;WedFrom2;ThuFrom1;ThuFrom2;FriFrom1;FriFrom2;SatFrom1;SatFrom2;DChl;CGrp;PayT;Cred.limit;Post.Code;Plnt;Created on;Created on
92144;ADELIA;PS BRABASAN RT 001 RW 001 KEL BRABASAN KEC TANJUNG RAYA;8.54E+10;;2051141;34597;90052442;90052442;Rudi Anggoro;F2 GT;Sabtu Ganjil;;;;;;;;;;;08:00:00;;2;14;Z00;0;34597;3042;26.12.2008;03.02.2026
92181;PARLINDUNGAN;PS. PANARAGAN JAYA RT.2-9 KEL.PANARAGAN JAYA KEC.TULANG;8.13E+10;;2051085;34593;90052418;90052418;Yuda Nurisman;F2 GT;Rabu Ganjil;;;;;8:00:00 AM;;;;;;;;2;14;Z00;0;34593;3042;26.12.2008;15.04.2025
105697;TK KARDI;SIMPANG PEMATANG RT 017 RW 009 KEL SIMPANG PEMATANG;8.53E+10;;2051146;34593;90052442;90052442;Rudi Anggoro;F2 GT;Selasa Ganjil;;;8:00:00 AM;;;;;;;;;;2;14;Z00;0;34593;3042;13.05.2009;03.02.2026
108339;TK ULAN;GEDUNG RAM RT 003 RW 001 KEL GEDUNG RAM KEC TANJUNG RAYA;8.23E+10;;2051142;34595;90052442;90052442;Rudi Anggoro;F2 GT;Sabtu Ganjil;;;;;;;;;;;08:00:00;;2;58;Z00;0;34595;3042;06.07.2009;02.09.2025
146712;TK TUTI;PS PANARAGAN JAYA RT 004 RW 004 KEL PANARAGAN JAYA;8.54E+10;;2051085;34593;90052418;90052418;Yuda Nurisman;F2 GT;Rabu Ganjil;;;;;08:00:00;;;;;;;;2;14;Z00;0;34593;3042;29.01.2011;26.02.2026
189587;TOKO AMEL;INDRALOKA II RT.16-4 KEL.INDRALOKA II KEC.WAY KENANGA;8.22E+10;;2051180;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Kamis;;;;;;;08:00:00;08:00:00;;;;;2;58;Z00;0;34595;3042;13.02.2013;07.01.2025
189597;TOKO. NUR;PASAR HI RT.2-8 KEL.MAKARTI TAMA KEC.GEDUNG AJI BARU;8.14E+10;;2051135;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Sabtu;;;;;;;;;;;08:00:00;08:00:00;2;13;Z00;0;34595;3042;13.02.2013;21.02.2025
;;;;;;;;;;;#REF!;;;;;;;;;;;;;;;;;;;;
192035;TK. REKINTA 96;PS. IPIL BLOK A2 WONOAGUNG KEC. RAWAJITU SELATAN;8.54E+10;;2051138;34595;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34595;3042;27.03.2013;09.05.2025
195818;TK ANUGERAH;INDRALOKA II RT 009 RW 003 KEL INDRALOKA II KEC WAY KENANGA;8.23E+10;;2051180;34595;90052442;90052442;Rudi Anggoro;F2 GT;Selasa Genap;;;;08:00:00;;;;;;;;;2;58;Z00;0;34595;3042;03.06.2013;15.09.2025
195825;TK. NINGSIH;TRI MAKMUR JAYA RT.4-4 KEL.TRI MAKMUR JAYA KEC.MENGGALA;8.54E+10;;2051176;34595;90052418;90052418;Yuda Nurisman;F2 GT;Selasa Genap;;;;08:00:00;;;;;;;;;2;69;Z00;0;34595;3042;03.06.2013;27.12.2024
195829;TK. DANI;BAWANG SAKTI JAYA RT.01-07 KEL.BAWANG SAKTI JAYA KEC.BANJAR;8.13E+10;;2051176;34595;90052418;90052418;Yuda Nurisman;F2 GT;Selasa Genap;;;;8:00:00 AM;;;;;;;;;2;14;Z00;0;34595;3042;03.06.2013;10.07.2025
195830;TK. ATIK;PS. RAWAJITU BLOK D NO.1 RT.2-2 KEL.GEDUNG KARYA JITU;8.78E+10;;2051140;34595;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;69;Z00;0;34595;3042;03.06.2013;05.05.2025
197188;TK.SINAR JAWA;KEBUN DALEM RT.4-3 KEL.KEBUN DALAM KEC.WAY SERDANG;8.23E+10;;2051169;34593;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Genap;;;;;;;;08:00:00;;;;;2;69;Z00;0;34593;3042;21.06.2013;21.04.2025
197190;ANUGERAH II;BAWANG TIRTO MULYO RT.2-6 KEL.BAWANG TIRTO MULYO KEC.BANJAR;8.20E+10;;2051176;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Senin;08:00:00;08:00:00;;;;;;;;;;;2;13;Z00;0;34595;3042;21.06.2013;15.01.2025
201663;TK. SINAR MULIA;KEJADIAN RT.4-2 KEL.KEJADIAN KEC.WAY SERDANG;8.58E+10;;2051169;34595;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;69;Z00;0;34595;3042;17.09.2013;21.04.2025
202518;TK. EKO;MULYA KENCANA RT.3-2 KEL.MULYA KENCANA KEC.TULANG BAWANG;8.54E+10;;2051238;34595;90052418;90052418;Yuda Nurisman;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;58;Z00;0;34595;3042;03.10.2013;28.05.2025
262633;TK ERSON;TATA KOTA RT 011 RW 013 KEL BUMI DEPASENA MULYA KEC RAWAJITU;8.13E+10;8.21E+10;2051140;34595;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;58;Z00;0;34595;3042;22.09.2015;07.08.2025
344680;TK.IQBAL ROMLI;JL.KH AHMAD DAHLAN RT.6-3 KEL.GEDUNG KARYA JITU;8.13E+10;;2051140;34595;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;69;Z00;0;34595;3042;17.06.2017;03.03.2025
552960;TK AGUNG JITU;GEDUNG KARYA JITU RT 002 RW 002 KEL GEDUNG KARYA JITU;8.23E+10;;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34593;3042;06.07.2020;11.05.2026
207988;TK SAPRI;JL ASPOL NO 302 LK UGU RT 001 RW 003 KEL UJUNG GUNUNG;8.78E+10;;2051184;34595;90052418;90052418;Yuda Nurisman;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;14;Z00;0;34595;3042;13.12.2013;05.03.2026
