Customer,Name 1,Street,Personnel Number,Personnel Name,JWK SALESMAN,Latitude,Longitude,Cycle,Optimized JWK
92144,ADELIA,PS BRABASAN RT 001 RW 001 KEL BRABASAN KEC TANJUNG RAYA,90052442,Rudi Anggoro,SABTU GANJIL,-3.991809,105.337311,Ganjil,SENIN GANJIL
92181,PARLINDUNGAN,PS. PANARAGAN JAYA RT.2-9 KEL.PANARAGAN JAYA KEC.TULANG,90052418,Yuda Nurisman,RABU GANJIL,-4.522421,105.088747,Ganjil,KAMIS GANJIL
105697,TK KARDI,SIMPANG PEMATANG RT 017 RW 009 KEL SIMPANG PEMATANG,90052442,Rudi Anggoro,SELASA GANJIL,-4.021392,105.2438,Ganjil,RABU GANJIL
108339,TK ULAN,GEDUNG RAM RT 003 RW 001 KEL GEDUNG RAM KEC TANJUNG RAYA,90052442,Rudi Anggoro,SABTU GANJIL,-3.963642,105.362018,Ganjil,SABTU GANJIL
146712,TK TUTI,PS PANARAGAN JAYA RT 004 RW 004 KEL PANARAGAN JAYA,90052418,Yuda Nurisman,RABU GANJIL,-4.52166,105.090332,Ganjil,KAMIS GANJIL
189587,TOKO AMEL,INDRALOKA II RT.16-4 KEL.INDRALOKA II KEC.WAY KENANGA,90052301,Ihwal Bayu Saddera,KAMIS,-4.2047688,105.1983312,Weekly,RABU
189597,TOKO. NUR,PASAR HI RT.2-8 KEL.MAKARTI TAMA KEC.GEDUNG AJI BARU,90052301,Ihwal Bayu Saddera,SABTU,-4.179278,105.526161,Weekly,RABU
191375,TK HENDRI,SIDANG GUNUNG TIGA RT 003 RW 001 KEL SIDANG GUNUNG TIGA,90052449,Beni Saputra,JUMAT GENAP,,,Genap,
192035,TK. REKINTA 96,PS. IPIL BLOK A2 WONOAGUNG KEC. RAWAJITU SELATAN,90052449,Beni Saputra,JUMAT GANJIL,-4.2158245,105.6670145,Ganjil,SABTU GANJIL
195818,TK ANUGERAH,INDRALOKA II RT 009 RW 003 KEL INDRALOKA II KEC WAY KENANGA,90052442,Rudi Anggoro,SELASA GENAP,-4.193555,105.217743,Genap,SENIN GENAP
195825,TK. NINGSIH,TRI MAKMUR JAYA RT.4-4 KEL.TRI MAKMUR JAYA KEC.MENGGALA,90052418,Yuda Nurisman,SELASA GENAP,-4.39448,105.278961,Genap,RABU GENAP
195829,TK. DANI,BAWANG SAKTI JAYA RT.01-07 KEL.BAWANG SAKTI JAYA KEC.BANJAR,90052418,Yuda Nurisman,SELASA GENAP,-4.393678,105.266648,Genap,RABU GENAP
195830,TK. ATIK,PS. RAWAJITU BLOK D NO.1 RT.2-2 KEL.GEDUNG KARYA JITU,90052449,Beni Saputra,JUMAT GANJIL,-4.2119285,105.739699,Ganjil,SENIN GANJIL
197188,TK.SINAR JAWA,KEBUN DALEM RT.4-3 KEL.KEBUN DALAM KEC.WAY SERDANG,90052442,Rudi Anggoro,KAMIS GENAP,-4.1884011,105.1070437,Genap,KAMIS GENAP
197190,ANUGERAH II,BAWANG TIRTO MULYO RT.2-6 KEL.BAWANG TIRTO MULYO KEC.BANJAR,90052301,Ihwal Bayu Saddera,SENIN,-4.371168,105.269918,Weekly,JUMAT
201663,TK. SINAR MULIA,KEJADIAN RT.4-2 KEL.KEJADIAN KEC.WAY SERDANG,90052442,Rudi Anggoro,KAMIS GANJIL,-4.1995968,105.0736133,Ganjil,JUMAT GANJIL
202518,TK. EKO,MULYA KENCANA RT.3-2 KEL.MULYA KENCANA KEC.TULANG BAWANG,90052418,Yuda Nurisman,SENIN GENAP,-4.5648619,105.1637768,Genap,SELASA GENAP
202647,TK. MUH RONI,RAWAPITU SP2 RT.11-04 KEL.BATANG HARI KEC.RAWAPITU,90052449,Beni Saputra,SELASA GENAP,-4.3010792,105.5587237,Genap,KAMIS GENAP
202658,TK.ELI,RAWAPITU SP2 JL.CEMPAKA RT.12-4 KEL.BATANGHARI KEC.RAWAPITU,90052449,Beni Saputra,SELASA GENAP,-4.3014052,105.5554195,Genap,KAMIS GENAP
202662,TK.SUMBER SARI,SUMBER SARI RT.18-06 KEL.SUMBER SARI KEC.PENAWAR AJI,90052449,Beni Saputra,SELASA GENAP,-4.3152645,105.5205408,Genap,SELASA GENAP
