Sales Office,Sales Group,Customer,Name 1,Street,Telephone 1,Telephone 2,Transportation zone,Description,Postal Code,Sales district,City,Terms of Payment,Credit limit,Delivering Plant,Risk category,Distribution Channel,Customer group,Division,Changed On Sales Data,Created On Sales Data,Personnel Number,Representative no.,JWK SALESMAN,MonFrom1,MonFrom2,TueFrom1,Unnamed: 27,WedFrom1,WedFrom2,ThuFrom1,ThuFrom2,FriFrom1,FriFrom2,SatFrom1,SatFrom2,Personnel Name,Latitude,Longitude,Optimized JWK,road_node,Cycle,_temp_cycle
C051,188,1094161,TK.IYAH,DSN.MUARA PUTIH RT.3/1 NO.50 KEL.MUARA PUTIH KEC.NATAR,081389613415,,2051028,Natar,35362,35362,LAMPUNG,Z00,0,3006,5.0,2,58,77,30.03.2026,2021-06-27 00:00:00,90051274,90051274,RABU,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.3135335,105.1947355,JUMAT,"(-5.3361, 105.16227)",Weekly,Weekly
C051,188,1103922,WR.RIYADI,JL.PADANG ASRI RT.1/3 NO.40 KEL.FAJAR AGUNG KEC.PRINGSEWU,082375548138,,2051036,Pringsewu,35376,35376,LAMPUNG,Z12,2000000,3006,1.0,2,69,77,16.02.2026,2021-06-29 00:00:00,90052197,90052197,SABTU GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,YUDDY SYAHPUTRA,-5.371862,104.947782,RABU GENAP,"(-5.43323, 104.9669)",Genap,Genap
C051,188,1110586,WR.MBA NING,JL.SUKARAJA 6 RT.2/6 NO.18C KEL.SUKARAJA KEC.GEDONG TATAAN,089508892280,,2051156,Gedong Tata'an,35366,35366,LAMPUNG,Z00,0,3006,5.0,2,14,77,01.02.2026,2021-07-01 00:00:00,90052353,90052353,SELASA GENAP,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.3817034,105.1088917,JUMAT GENAP,"(-5.38193, 105.10738)",Genap,Genap
C051,188,1145243,WR.LASTRI,DSN.KANDIS RT.13-7 KEL.MUARA PUTIH KEC.NATAR,085367309755,,2051235,PANCASILA,35362,35362,LAMPUNG,Z00,0,3006,5.0,2,58,77,13.04.2026,2022-06-16 00:00:00,90051274,90051274,SELASA,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.28095,105.239589,RABU,"(-5.32649, 105.26118)",Weekly,Weekly
C051,188,1235495,TK.SHERIN,JL.SUKARAJA 8 RT.2 NO.113 KEL.SUKARAJA KEC.GEDONG TATAAN,082374073038,,2051156,Gedong Tata'an,35366,35366,LAMPUNG,Z12,2000000,3006,1.0,2,69,77,01.02.2026,2021-08-03 00:00:00,90052353,90052353,SELASA GENAP,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.3851333,105.1082233,JUMAT GENAP,"(-5.38506, 105.108)",Genap,Genap
C051,188,125587,TK. BUDI,JL.RAYA MARGODADI RT.8/2 KEL.MARGODADI KEC.AMBARAWA,081802798697,082185007274,2051002,Ambarawa,35376,35376,LAMPUNG,Z00,0,3006,5.0,2,14,77,27.04.2026,2023-05-28 00:00:00,90052353,90051943,SELASA,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.387113,104.965527,SELASA,"(-5.43323, 104.9669)",Weekly,Weekly
C051,188,1267307,WR.PAK MUH,DSN.SINAR FAMILI RT.8/4 NO.31 KEL.SINARMULYA KEC.BANYUMAS,085279558610,,2051224,Banyumas,35674,35674,LAMPUNG,Z12,2000000,3006,1.0,2,69,77,11.01.2026,2021-08-12 00:00:00,90052197,90052197,SENIN GANJIL,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,YUDDY SYAHPUTRA,-5.29467,104.9020283,SENIN GANJIL,"(-5.34734, 104.86867)",Ganjil,Ganjil
C051,188,128240,KABARA SOF,JL. PRAMUKA NO.27 RT.2/4 KOMP.KAMPUS MALAHAYATI KEL.PRAMUKA,083809707100,,2051068,Kemiling,35127,35127,LAMPUNG,Z12,6822580,3006,1.0,2,13,77,30.03.2026,2021-11-03 00:00:00,90051274,99999085,SELASA,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.380876,105.218836,SELASA,"(-5.38089, 105.21884)",Weekly,Weekly
C051,188,1282496,TK.AGUS CELL,JL.PEMUDA RT.1/1 NO.72 KEL.SUKARAJA KEC.GEDONG TATAAN,087839951833,,2051156,Gedong Tata'an,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,01.02.2026,2021-08-16 00:00:00,90052353,90052353,SELASA GENAP,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.382615,105.0976267,RABU GENAP,"(-5.38251, 105.0976)",Genap,Genap
C051,188,128715,BATARA MM,JL.KOMARUDIN NO.46 LK.I RT.1 KEL-KEC.RAJABASA,07213537324,0721-3537324,2051096,Rajabasa,35144,35144,LAMPUNG,Z00,0,3006,5.0,1,A3,77,30.03.2026,2024-11-29 00:00:00,90051274,90051829,RABU,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.357754,105.236566,SELASA,"(-5.35748, 105.23652)",Weekly,Weekly
C051,188,1324464,TK.FERI,DSN FAJAR BARU RT.2/3 KEL.FAJAR BARU KEC.PAGELARAN UTARA,085847583533,,2051224,Banyumas,35375,35372,LAMPUNG,Z00,0,3006,5.0,2,69,77,11.01.2026,2021-08-27 00:00:00,90052197,90052197,SENIN GANJIL,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,YUDDY SYAHPUTRA,-5.2865806,104.9203763,KAMIS GANJIL,"(-5.34852, 104.87056)",Ganjil,Ganjil
C051,188,1331160,WR.SABEAH,DSN.SUKA MULYA RT.8/8 NO.7B KEL.PEKONDOH KEC.WAY LIMA,082178790388,,2051011,Gading Rejo,35381,35381,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,31.08.2025,2021-08-28 00:00:00,90052353,90052353,SENIN GANJIL,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.4076094,105.0294272,KAMIS GANJIL,"(-5.40751, 105.02938)",Ganjil,Ganjil
C051,188,1346434,TK.FADLY,DSN.PAGAR BANYU RT.3/4 NO.45 KEL.PADANG RATU,081210869456,,2051016,Kedondong,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,01.02.2026,2021-09-01 00:00:00,90052353,90052353,KAMIS GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.417005,105.061032,RABU GENAP,"(-5.41764, 105.0607)",Genap,Genap
C051,188,1356586,WR.TEH ELA,DSN.WAY HARONG RT.4/6 NO.10 KEL.WAY HARONG KEC.WAY LIMA,081271860731,,2051016,Kedondong,35381,35381,LAMPUNG,Z12,6395502,3006,1.0,2,13,77,30.03.2026,2021-09-03 00:00:00,90051274,90051274,JUMAT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.441135,105.025953,KAMIS,"(-5.44089, 105.02584)",Weekly,Weekly
C051,188,1400936,TK.EDO,DSN.III PADANG REJO RT.3/3 KEL.PADANG REJO KEC.PAGELARAN,081279425080,,2051036,Pringsewu,35376,35376,LAMPUNG,Z00,0,3006,5.0,2,69,77,11.01.2026,2023-09-18 00:00:00,90052197,90052197,JUMAT GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,YUDDY SYAHPUTRA,-5.3781433,104.9078666,JUMAT GENAP,"(-5.39147, 104.87743)",Genap,Genap
C051,188,1404901,TK.DINDA,JL.WAN ABDURRAHMAN RT.5 NO.7 KEL.SUMBER AGUNG KEC.KEMILING,085268015675,,2051068,Kemiling,35156,35156,LAMPUNG,Z00,0,3006,5.0,2,13,77,30.03.2026,2021-09-17 00:00:00,90051274,90051274,KAMIS,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.404914,105.191753,RABU,"(-5.40493, 105.19192)",Weekly,Weekly
C051,188,141702,UD. ASRI,JL.SWADIPA BUMI ASRI RT.10 NO.99 NA,081379267773,081223467773,2051511,Batu Puru,35362,35362,LAMPUNG,Z00,0,3006,5.0,2,13,77,30.03.2026,2016-12-13 00:00:00,90051274,90051662,SENIN,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.286259,105.193587,JUMAT,"(-5.27103, 105.16886)",Weekly,Weekly
C051,188,142354,YANTO,JL.SWADHIPA RT.6 KEL.BUMI SARI KEC.NATAR,81379445216,089522948705,2051511,Batu Puru,35362,35362,LAMPUNG,Z00,0,3006,5.0,2,13,77,30.03.2026,2023-06-13 00:00:00,90051274,90051662,SENIN,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.286622,105.191827,JUMAT,"(-5.27103, 105.16886)",Weekly,Weekly
C051,188,143172,FAZIL,JL. RAYA PATOMAN RT.2/3 PAGELARAN NO.48,082281193747,,2051030,Pagelaran Lampung,35111,35111,LAMPUNG,Z12,2148654,3006,1.0,2,69,77,09.03.2026,2019-05-14 00:00:00,90052197,90051884,SELASA,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,YUDDY SYAHPUTRA,-5.371079,104.892499,RABU,"(-5.38337, 104.87499)",Weekly,Weekly
C051,188,1449971,RENEO BABY SHOP,JL.SATRIA RT.2/3 NO.11 KEL.PRINGSEWU BARAT KEC.PRINGSEWU,08127260685,,2051036,Pringsewu,35373,35373,LAMPUNG,Z12,1000000,3006,1.0,2,14,77,27.04.2026,2021-09-29 00:00:00,90052353,90052353,KAMIS GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.3517483,104.9764383,RABU GENAP,"(-5.39576, 105.02377)",Genap,Genap
C051,188,1479724,WR.KEMBAR,JL.WIRYO SENJOYO RT.15/3 NO.10 KEL.GUNUNG REJO KEC.WAY LIMA,0887437431335,081378598048,2051492,Way Lima,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,69,77,11.01.2026,2023-07-10 00:00:00,90052353,90051561,SENIN,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.434071,105.012362,KAMIS,"(-5.43381, 105.0123)",Weekly,Weekly
