Personnel Name,Customer,Cycle,road_node,Name 1,Street,JWK SALESMAN,Sales Office,Sales Group,Telephone 1,Telephone 2,Transportation zone,Description,Postal Code,Sales district,City,Terms of Payment,Credit limit,Delivering Plant,Risk category,Distribution Channel,Customer group,Division,Changed On Sales Data,Created On Sales Data,Personnel Number,Representative no.,MonFrom1,MonFrom2,TueFrom1,Unnamed: 27,WedFrom1,WedFrom2,ThuFrom1,ThuFrom2,FriFrom1,FriFrom2,SatFrom1,SatFrom2,Latitude,Longitude,Optimized JWK
REKI YULIANDRI,1110586,Genap,"(-5.38193, 105.10738)",WR.MBA NING,JL.SUKARAJA 6 RT.2/6 NO.18C KEL.SUKARAJA KEC.GEDONG TATAAN,SELASA GENAP,C051,188,089508892280,,2051156,Gedong Tata'an,35366,35366,LAMPUNG,Z00,0,3006,5.0,2,14,77,01.02.2026,2021-07-01 00:00:00,90052353,90052353,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.3817034,105.1088917,SENIN GENAP
REKI YULIANDRI,1235495,Genap,"(-5.38506, 105.108)",TK.SHERIN,JL.SUKARAJA 8 RT.2 NO.113 KEL.SUKARAJA KEC.GEDONG TATAAN,SELASA GENAP,C051,188,082374073038,,2051156,Gedong Tata'an,35366,35366,LAMPUNG,Z12,2000000,3006,1.0,2,69,77,01.02.2026,2021-08-03 00:00:00,90052353,90052353,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.3851333,105.1082233,SENIN GENAP
REKI YULIANDRI,125587,Weekly,"(-5.43323, 104.9669)",TK. BUDI,JL.RAYA MARGODADI RT.8/2 KEL.MARGODADI KEC.AMBARAWA,SELASA,C051,188,081802798697,082185007274,2051002,Ambarawa,35376,35376,LAMPUNG,Z00,0,3006,5.0,2,14,77,27.04.2026,2023-05-28 00:00:00,90052353,90051943,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.387113,104.965527,SELASA
REKI YULIANDRI,1282496,Genap,"(-5.38251, 105.0976)",TK.AGUS CELL,JL.PEMUDA RT.1/1 NO.72 KEL.SUKARAJA KEC.GEDONG TATAAN,SELASA GENAP,C051,188,087839951833,,2051156,Gedong Tata'an,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,01.02.2026,2021-08-16 00:00:00,90052353,90052353,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.382615,105.0976267,RABU GENAP
REKI YULIANDRI,1331160,Ganjil,"(-5.40751, 105.02938)",WR.SABEAH,DSN.SUKA MULYA RT.8/8 NO.7B KEL.PEKONDOH KEC.WAY LIMA,SENIN GANJIL,C051,188,082178790388,,2051011,Gading Rejo,35381,35381,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,31.08.2025,2021-08-28 00:00:00,90052353,90052353,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.4076094,105.0294272,JUMAT GANJIL
REKI YULIANDRI,1346434,Genap,"(-5.41764, 105.0607)",TK.FADLY,DSN.PAGAR BANYU RT.3/4 NO.45 KEL.PADANG RATU,KAMIS GENAP,C051,188,081210869456,,2051016,Kedondong,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,01.02.2026,2021-09-01 00:00:00,90052353,90052353,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,-5.417005,105.061032,JUMAT GENAP
REKI YULIANDRI,1449971,Genap,"(-5.39576, 105.02377)",RENEO BABY SHOP,JL.SATRIA RT.2/3 NO.11 KEL.PRINGSEWU BARAT KEC.PRINGSEWU,KAMIS GENAP,C051,188,08127260685,,2051036,Pringsewu,35373,35373,LAMPUNG,Z12,1000000,3006,1.0,2,14,77,27.04.2026,2021-09-29 00:00:00,90052353,90052353,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,-5.3517483,104.9764383,KAMIS GENAP
REKI YULIANDRI,1479724,Weekly,"(-5.43381, 105.0123)",WR.KEMBAR,JL.WIRYO SENJOYO RT.15/3 NO.10 KEL.GUNUNG REJO KEC.WAY LIMA,SENIN,C051,188,0887437431335,081378598048,2051492,Way Lima,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,69,77,11.01.2026,2023-07-10 00:00:00,90052353,90051561,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.434071,105.012362,SENIN
REKI YULIANDRI,1702826,Ganjil,"(-5.37647, 105.06885)",TK.KAFILA MART,JL.RAYA WONOKRIYO RT.2/7 NO.35 KEL.WONODADI KEC.GADING REJO,SELASA GANJIL,C051,188,085382905532,085269636900,2051493,Pasar Gadingrejo,35372,35372,LAMPUNG,Z00,0,3006,5.0,2,14,77,29.04.2026,2022-05-19 00:00:00,90052353,90052353,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.371925,105.04785,RABU GANJIL
REKI YULIANDRI,1708997,Genap,"(-5.38512, 105.10658)",WR.BU ENDANG,JL.SWADAYA RT.22 NO.193 KEL.SUKARAJA KEC.GEDONG TATAAN,SELASA GENAP,C051,188,085380929031,,2051156,Gedong Tata'an,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,01.02.2026,2022-01-24 00:00:00,90052353,90052353,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.385007,105.106585,SENIN GENAP
REKI YULIANDRI,1715267,Ganjil,"(-5.35442, 105.0809)",WR.LOUISE,WONOREJO RT.2/2 NO.5 KEL.KAGUNGAN RATU KEC.NEGERI KATON,SABTU GANJIL,C051,188,+6285709815292,,2051011,Gading Rejo,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,69,77,21.02.2026,2022-02-22 00:00:00,90052353,90052353,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,-5.353815,105.083608,RABU GANJIL
REKI YULIANDRI,1716409,Genap,"(-5.32559, 105.10435)",WR.ABANG ADEK,DSN.NEGERI KATON RT.1/1 KEL-KEC.NEGERI KATON,JUMAT GENAP,C051,188,085608388874,,2051156,Gedong Tata'an,35371,35371,LAMPUNG,Z00,0,3006,5.0,2,14,77,01.02.2026,2022-03-04 00:00:00,90052353,90052353,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,-5.325502,105.104244,SABTU GENAP
REKI YULIANDRI,1718379,Genap,"(-5.46458, 104.98311)",WR.NABILA,DS.GUNUNG SARI RT.0 KEL.GUNUNG SARI KEC.WAY KHILAW,SELASA GENAP,C051,188,+6285788843411,,2051270,Gunung Sari (Pesawar,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,69,77,29.04.2026,2024-09-13 00:00:00,90052353,90051924,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.465309,104.98241,SELASA GENAP
REKI YULIANDRI,1721770,Genap,"(-5.32942, 105.06168)",WR.RENI,DSN.PANGGUNGREJO RT.10/4 KEL.PANGGUNGREJO KEC.SUKOHARJO,JUMAT GENAP,C051,188,085809832236,,2051223,Sukoharjo,35674,35674,LAMPUNG,Z00,0,3006,5.0,2,14,77,27.04.2026,2022-03-23 00:00:00,90052353,90052353,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,-5.316834,105.033156,SABTU GENAP
REKI YULIANDRI,1722172,Weekly,"(-5.45351, 105.00506)",TK.LOPAN,DSN.TEBAK JAWA RT.7-5 KEL.TEBA JAWA KEC.KEDONDONG,SENIN,C051,188,085832821945,,2051016,Kedondong,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,69,77,01.02.2026,2024-08-09 00:00:00,90052353,90051561,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.453621,105.00518,SELASA
REKI YULIANDRI,1722426,Genap,"(-5.35511, 105.07588)",TK.AFIKA,DSN.TEGAL SARI RT.14/4 KEL.GADING REJO KEC.NEGERI KATON,RABU GENAP,C051,188,085348278654,,2051011,Gading Rejo,35372,35372,LAMPUNG,Z12,2179824,3006,1.0,2,69,77,29.04.2026,2022-09-26 00:00:00,90052353,90051815,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,-5.35419,105.066952,RABU GENAP
REKI YULIANDRI,1723074,Ganjil,"(-5.28716, 105.05471)",WR.HERU,DSN.KOTA BARU RT.1/7 KEL.ROWOREJO KEC.NEGERI KATON,JUMAT GANJIL,C051,188,085267554825,,2051223,Sukoharjo,35365,35365,LAMPUNG,Z00,0,3006,5.0,2,58,77,01.02.2026,2022-03-25 00:00:00,90052353,90052353,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,-5.290187,105.047314,SENIN GANJIL
REKI YULIANDRI,1729402,Ganjil,"(-5.46401, 105.00394)",WR.MAMA IZAM,DSN.SUKA RAME RT.6 KEL.PASAR BARU KEC.KEDONDONG,SENIN GANJIL,C051,188,087899257548,,2051016,Kedondong,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,14,77,13.04.2026,2022-12-08 00:00:00,90052353,90052438,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.464066,105.003953,SELASA GANJIL
REKI YULIANDRI,1731068,Genap,"(-5.37875, 105.10056)",TK.BAGAS,JL.TAMTAMA RT.1/1 KEL.BAGELEN KEC.GEDONG TATAAN,SELASA GENAP,C051,188,081226722244,,2051156,Gedong Tata'an,35366,35366,LAMPUNG,Z00,0,3006,5.0,2,69,77,01.02.2026,2022-04-06 00:00:00,90052353,90052353,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.378653,105.100579,RABU GENAP
REKI YULIANDRI,1731070,Ganjil,"(-5.37647, 105.06885)",SHANUM,JL.SATRIA RT.1/7 KEL-KEC.GADING REJO,SELASA GANJIL,C051,188,085249944763,,2051011,Gading Rejo,35366,35366,LAMPUNG,Z00,0,3006,5.0,2,14,77,25.02.2026,2022-04-06 00:00:00,90052353,90052353,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.379971,105.067512,RABU GANJIL
REKI YULIANDRI,1732138,Ganjil,"(-5.28716, 105.05471)",TK.FARAH,DSN.ROWOREJO RT.2/1 KEL.ROWOREJO KEC.NEGERI KATON,JUMAT GANJIL,C051,188,+6285945036315,,2051158,Rowo Rejo,35365,35365,LAMPUNG,Z00,0,3006,5.0,2,69,77,29.04.2026,2022-04-08 00:00:00,90052353,90052353,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,-5.290151,105.055442,SENIN GANJIL
